"trace","L_class_number","commutator_class_number","genus"
85998,116,116.,0
86034,134,134.,0
86082,230,230.,0
86254,76,76.,0
86274,110,110.,0
86290,60,60.,0
86382,88,88.,0
86418,90,90.,0
86510,64,64.,0
86526,68,68.,0
86546,76,76.,0
86718,52,52.,0
86766,160,160.,0
86802,140,140.,0
86850,84,84.,0
86974,112,112.,0
87042,130,130.,0
87150,136,136.,0
87186,100,100.,0
87230,20,20.,0
87294,76,76.,0
87298,58,58.,0
87406,28,28.,0
87442,84,84.,0
87486,140,140.,0
87534,140,140.,0
87550,68,68.,0
87554,32,32.,0
87570,142,142.,0
87618,312,312.,0
87662,52,52.,0
87698,56,56.,0
87806,124,124.,0
87810,172,172.,0
87874,24,24.,0
87918,146,146.,0
87954,164,164.,0
88062,192,192.,0
88130,150,150.,0
88254,48,48.,0
88302,120,120.,0
88338,136,136.,0
88386,40,40.,0
88558,90,90.,0
88578,92,92.,0
88594,44,44.,0
88686,72,72.,0
88722,140,140.,0
88814,96,96.,0
88830,168,168.,0
88850,50,50.,0
89022,156,156.,0
89070,140,140.,0
89106,106,106.,0
89154,124,124.,0
89278,44,44.,0
89346,116,116.,0
89454,156,156.,0
89490,146,146.,0
89534,92,92.,0
89598,176,176.,0
89602,104,104.,0
89710,108,108.,0
89746,78,78.,0
89790,116,116.,0
89838,80,80.,0
89854,72,72.,0
89858,40,40.,0
89874,128,128.,0
89922,74,74.,0
89966,54,54.,0
90002,111,111.,0
90110,168,168.,0
90114,86,86.,0
90178,68,68.,0
90222,140,140.,0
90258,166,166.,0
90366,60,60.,0
90434,32,32.,0
90558,140,140.,0
90606,140,140.,0
90642,154,154.,0
90690,212,212.,0
90862,24,24.,0
90882,100,100.,0
90898,102,102.,0
90990,172,172.,0
91026,136,136.,0
91118,52,52.,0
91134,132,132.,0
91154,36,36.,0
91326,28,28.,0
91374,128,128.,0
91410,144,144.,0
91458,60,60.,0
91582,124,124.,0
91650,128,128.,0
91758,206,206.,0
91794,88,88.,0
91838,56,56.,0
91902,356,356.,0
91906,32,32.,0
92014,100,100.,0
92050,40,40.,0
92094,206,206.,0
92142,142,142.,0
92158,48,48.,0
92162,124,124.,0
92178,124,124.,0
92226,192,192.,0
92270,102,102.,0
92306,24,24.,0
92414,32,32.,0
92418,302,302.,0
92482,18,18.,0
92526,60,60.,0
92562,144,144.,0
92670,88,88.,0
92738,72,72.,0
92862,52,52.,0
92910,244,244.,0
92946,98,98.,0
92994,48,48.,0
93166,108,108.,0
93186,144,144.,0
93202,64,64.,0
93294,130,130.,0
93330,184,184.,0
93422,52,52.,0
93438,108,108.,0
93458,104,104.,0
93630,264,264.,0
93678,128,128.,0
93714,88,88.,0
93762,180,180.,0
93886,24,24.,0
93954,84,84.,0
94062,88,88.,0
94098,144,144.,0
94142,104,104.,0
94206,116,116.,0
94210,64,64.,0
94318,34,34.,0
94354,60,60.,0
94398,68,68.,0
94446,132,132.,0
94462,56,56.,0
94466,54,54.,0
94482,148,148.,0
94530,64,64.,0
94574,34,34.,0
94610,112,112.,0
94718,56,56.,0
94722,124,124.,0
94786,116,116.,0
94830,166,166.,0
94866,186,186.,0
94974,132,132.,0
95042,32,32.,0
95166,140,140.,0
95214,76,76.,0
95250,214,214.,0
95298,154,154.,0
95470,48,48.,0
95490,126,126.,0
95506,46,46.,0
95598,248,248.,0
95634,76,76.,0
95726,76,76.,0
95742,100,100.,0
95762,72,72.,0
95934,56,56.,0
95982,132,132.,0
96018,128,128.,0
96066,66,66.,0
96190,138,138.,0
96258,164,164.,0
96366,80,80.,0
96402,154,154.,0
96446,42,42.,0
96510,154,154.,0
96514,80,80.,0
96622,112,112.,0
96658,20,20.,0
96702,224,224.,0
96750,156,156.,0
96766,48,48.,0
96770,64,64.,0
96786,128,128.,0
96834,134,134.,0
96878,104,104.,0
96914,68,68.,0
97022,78,78.,0
97026,68,68.,0
97090,32,32.,0
97134,108,108.,0
97170,164,164.,0
97278,238,238.,0
97346,215,215.,0
97470,88,88.,0
97518,164,164.,0
97554,118,118.,0
97602,120,120.,0
97774,36,36.,0
97794,76,76.,0
97810,148,148.,0
97902,176,176.,0
97938,160,160.,0
98030,56,56.,0
98046,142,142.,0
98066,40,40.,0
98238,168,168.,0
98286,128,128.,0
98322,120,120.,0
98370,366,366.,0
98494,12,12.,0
98562,216,216.,0
98670,224,224.,0
98706,144,144.,0
98750,224,224.,0
98814,92,92.,0
98818,94,94.,0
98926,64,64.,0
98962,18,18.,0
99006,48,48.,0
99054,100,100.,0
99070,68,68.,0
99074,68,68.,0
99090,200,200.,0
99138,68,68.,0
99182,100,100.,0
99218,48,48.,0
99326,38,38.,0
99330,192,192.,0
99394,52,52.,0
99438,144,144.,0
99474,90,90.,0
99582,60,60.,0
99650,20,20.,0
99774,228,228.,0
99822,142,142.,0
99858,162,162.,0
99906,192,192.,0
